ID	st_vseh	delez_izbranih_tock	relativna_napaka_ploscine_1	relativna_napaka_obseg_1	relativna_napaka_ploscine_krog	relativna_napaka_obseg_krog
1075	550	93.27272727272728	100.0	100.0	54.30853240714065	13.378852376561193
1076	550	95.45454545454545	100.0	100.0	51.02693777473682	12.779313447267482
1077	550	95.0909090909091	99.896654514778	99.99934447406538	54.03273556562842	11.703811137514423
1078	550	94.72727272727272	99.92081922135112	99.74722072015456	55.06486519547498	13.543027278442043
1079	550	95.81818181818181	100.0	100.0	55.94490866216718	14.65420386534072
1080	550	96.54545454545455	100.0	100.0	57.976191513292044	14.805786523878345
1081	550	96.54545454545455	99.91118460849636	99.99940326640476	61.41956442364352	16.393354164707848
1082	550	95.45454545454545	100.0	100.0	59.775928229842926	15.572135916045267
1083	550	95.81818181818181	100.0	100.0	60.53677085823415	16.323871112230474
1084	550	95.27272727272728	100.0	100.0	58.18788433930453	14.402737552583758
1085	550	96.36363636363636	100.0	100.0	56.42367390994277	15.334656833339688
1086	550	94.9090909090909	100.0	100.0	55.99135008538586	13.63785747934749
1087	550	95.81818181818181	100.0	100.0	58.744176280493384	14.927523974615193
1088	550	96.18181818181817	99.96429483533707	99.99987600840068	56.26397485409929	14.647000864312071
1089	550	94.36363636363636	99.96644645173349	99.99192509889919	61.00263956552497	15.859583620761594
1090	550	96.54545454545455	100.0	100.0	53.447314931303616	12.880503301547103
1091	550	97.27272727272728	100.0	100.0	56.34333492347767	14.886630381322236
1092	550	97.45454545454545	99.91281615210268	99.9762200608587	43.91688998074416	12.208055446301666
1093	550	96.9090909090909	100.0	100.0	45.16204626328238	11.038099944719077
1094	550	96.54545454545455	100.0	100.0	52.28638271908803	13.970170123520568
1095	550	95.27272727272728	99.94203947039706	99.96432221631945	52.74487630836381	13.338480234821013
1096	550	96.54545454545455	100.0	100.0	56.03905913032066	13.63954004457083
1097	550	97.81818181818181	100.0	100.0	63.09192635425372	16.877312238788285
1098	550	97.81818181818181	100.0	100.0	54.265635627741624	13.758793996774607
1099	550	96.36363636363636	100.0	100.0	56.16511303817132	15.346195467046517
1100	600	0.6666666666666667	14.414883392038789	49.21245180105627	46.597035349904644	12.105384707925245
1101	600	0.6666666666666667	30.540298910768087	65.11932357817227	57.89715473609871	13.82088726705055
1102	600	0.6666666666666667	27.379005028283686	59.25639893308826	58.05613920616031	15.013673003875692
1103	600	0.6666666666666667	22.31248944065392	62.39129619659615	54.841892652378185	12.794166946826138
1104	600	0.6666666666666667	27.915534433219875	57.435599232430405	61.18513409222115	15.420761888782723
1105	600	0.6666666666666667	13.640149024776363	51.08037009366927	51.19108934957182	11.730504358634441
1106	600	0.6666666666666667	31.614122594276083	62.40335782609889	52.159622708119194	13.47968662668004
1107	600	0.6666666666666667	16.949480035728342	43.698603439395235	54.6226200224082	14.45152728838083
1108	600	0.6666666666666667	32.13796141789655	63.58623580909156	55.97845337874935	12.676899633265934
1109	600	0.6666666666666667	51.36249357525161	78.44635418480763	56.106626155533576	14.385629007813112
1110	600	23.666666666666668	94.9512457997735	97.49318757579377	51.05358229824299	14.496505079833078
1111	600	23.666666666666668	95.52541278669264	96.66483374891345	51.26826145016218	12.079066625374915
1112	600	24.0	94.27664238326219	95.6727602658131	52.301021878073406	12.262743221780852
1113	600	23.666666666666668	95.95054851469098	97.38591162247539	49.05978807105684	12.080434459524733
1114	600	23.833333333333336	93.79609743361122	96.51970289902927	54.491697968867115	13.681827943715849
1115	600	23.833333333333336	94.32186519126579	97.85336180382863	60.61771882392758	15.674889571052194
