ID	st_vseh	relativna_napaka_ploscine_krog	relativna_napaka_obseg_krog
62	87.5	78.55383031801276	22.79175849316102
63	87.5	76.1153287389361	23.584454863693573
64	87.5	72.05461112093536	21.996916969463808
65	87.5	51.32264905204658	17.708684745990478
66	87.5	48.43795712987658	12.500281541292162
67	87.5	57.10630422028925	15.990809978392399
68	87.5	60.380786372105945	18.51586633753963
69	87.5	56.62920341845715	16.576668190374097
70	100.0	58.88751856591655	18.68536630927681
71	100.0	58.447005780143755	16.442022209088996
72	100.0	69.65692840874567	20.281065426840474
73	100.0	46.16684408622856	13.336916053335521
74	100.0	46.91904940633827	14.402710785446054
75	100.0	57.80155005024535	15.061351574170418
76	100.0	84.21852137200793	25.35191804955997
77	100.0	59.87770222836253	15.28609156226912
78	100.0	50.07462107491896	16.027288112876995
79	100.0	68.34156432140176	21.534555621217518
80	112.5	67.30985665083932	20.50312044484433
81	112.5	53.378902977093986	16.811079810115015
82	112.5	70.06485047108414	16.22420586029822
83	112.5	55.1640774732803	15.366085327369245
84	112.5	66.16247224147088	18.57210069130019
85	112.5	64.88499384300766	21.2095741793298
86	112.5	61.926148679458535	17.337251044010653
87	112.5	51.54372734296809	13.569213335209001
88	112.5	61.738078709743725	20.08130255752812
89	112.5	59.6875911195243	19.024295062849156
90	125.0	54.849126656756795	16.260691720247586
91	125.0	70.84928805029593	22.74420572930608
92	125.0	56.3137804827999	15.541256476442717
93	125.0	67.51839351926034	19.103968786223437
94	125.0	54.1662641655507	17.260191877241127
95	125.0	31.795094817912663	9.400796521062595
96	125.0	66.94126069176718	17.8001334116272
97	125.0	71.86335385695976	21.275745212417526
98	125.0	43.35656880609411	12.82567849509883
99	125.0	64.77239005572926	19.161413573342294
100	137.5	60.819780242742596	17.724060362772477
101	137.5	59.748588981002506	15.815663921813861
102	137.5	59.16045568873935	16.48746271505518
103	137.5	51.383076995085474	14.941321206275953
104	137.5	69.81502415960934	19.701690034095684
105	137.5	58.24349913071942	17.839037789608543
106	137.5	55.3013700740583	16.485333312218557
107	137.5	78.62364659495618	23.29806227852692
108	137.5	49.966338598947374	15.611452310955586
109	137.5	70.11251766329536	19.55895952619339
110	150.0	65.74715840703227	20.87252570049992
111	150.0	50.44322903361669	14.54779218806104
112	150.0	56.84661390136792	14.1336351468554
113	150.0	57.26878204962191	15.069502171589026
114	150.0	69.26891435138035	22.32318028899927
115	150.0	41.510683244024214	10.900703991241608
116	150.0	70.07753889726948	23.56955953406715
117	150.0	62.19807267279872	16.883760936378525
118	150.0	59.70048188180157	19.090596453767233
119	150.0	51.909856210658525	15.66547069952813
120	162.5	38.562637040897144	11.121913835657601
121	162.5	63.22379319257357	19.035327964847493
122	162.5	67.59323577514363	17.62014732364182
123	162.5	68.92912789240495	17.108322675629903
124	162.5	64.47498814669915	19.18657572566697
125	162.5	51.30383049168579	15.38491209087269
126	162.5	60.9039878163538	15.201979034173736
127	162.5	65.9189282342613	18.939169576302994
128	162.5	67.53355738584479	18.29194587556278
129	162.5	59.88262128366254	17.50978791091325
130	175.0	53.233110280855115	16.185000513968863
131	175.0	61.01966523420229	17.831499699828722
132	175.0	62.21177475713907	17.538357883281694
133	175.0	53.337516937373266	12.822422842169908
134	175.0	56.76749778887471	17.736167766504877
135	175.0	49.713588967404796	14.378620173728255
136	175.0	51.82644019762876	13.420020681293582
137	175.0	45.7210830013032	14.881181143733052
138	175.0	55.880367246617126	13.628155538645096
139	175.0	51.65671451724175	14.658396630284157
140	187.5	54.57850451991191	15.329451080671861
141	187.5	50.4156228713146	13.403783604472416
142	187.5	66.77384362525235	19.33087182529471
143	187.5	59.302439954129404	17.350255707850113
144	187.5	58.985804173062604	14.927581230755111
145	187.5	53.51105154772993	14.657477618842082
146	187.5	60.199895339947375	16.861977209402735
147	187.5	61.58347579565003	17.599879489445534
148	187.5	53.325394175056594	14.872383345536571
149	187.5	39.184476563564715	11.29596070392293
150	200.0	46.05616288734897	12.855873618201768
151	200.0	50.90739201473134	12.763639922483144
152	200.0	50.44015457373373	13.511889633770657
153	200.0	46.553180156949196	12.782526055817584
154	200.0	54.11175714898299	13.77371405862616
155	200.0	52.73730785327617	14.87229655300376
156	200.0	49.023549891361	14.256491771223642
157	200.0	63.38978850549135	19.781391816225977
158	200.0	59.67767564061132	17.296175193735426
159	200.0	52.32320512647179	15.423660716577995
160	212.5	64.5307812313775	20.436183738152153
161	212.5	54.54005137316623	14.841207717045894
162	212.5	55.25446062795375	14.766762165243835
163	212.5	53.90053509774193	16.11947662593846
164	212.5	52.11364113167344	13.75326003536875
165	212.5	71.45479812822052	19.588598812477155
166	212.5	65.82084562217688	19.554636536657224
167	212.5	59.10025102049724	14.65227388297694
168	212.5	73.53793044969035	22.864439304532155
169	212.5	51.6955711693316	13.701621710330578
170	225.0	58.074566269289676	15.955240175928429
171	225.0	50.587072468847204	14.24515533817052
172	225.0	40.316430225992086	10.400610554789008
173	225.0	61.09061968129749	17.337289961051738
174	225.0	46.61529300472005	12.143870607956893
175	225.0	69.25367734137173	20.64355209330126
176	225.0	53.41880078611199	12.914346028886314
177	225.0	62.607879543675146	16.15052169562863
178	225.0	52.31344481082035	15.657857859777513
179	225.0	60.84693020052233	16.108344637527374
180	237.5	44.43827481921359	11.137330779911963
181	237.5	64.29778310276122	17.035098172449143
182	237.5	53.54970811612453	15.58426100209544
183	237.5	65.58890978798618	18.20151126930364
184	237.5	45.553723644707325	12.888376680232383
185	237.5	44.05546412522257	12.448018888817327
186	237.5	43.46017657686059	10.339913262361689
187	237.5	53.10784344735092	14.868262503457286
188	237.5	54.44410592284312	15.437121997255154
189	237.5	53.21204186089723	17.149824341610888
190	250.0	46.728022029056184	13.4429026069428
191	250.0	37.70627299640586	10.054704172879644
192	250.0	52.82622249253155	14.072446076982578
193	250.0	57.20581443550892	13.644870033062805
194	250.0	57.452042631805156	14.827581912343044
195	250.0	43.49510831323018	11.772962543922477
196	250.0	54.0802878171507	12.504756086222562
197	250.0	69.33520039946548	18.93114478684254
198	250.0	63.13021664280532	16.740253411500635
199	250.0	66.53994775433752	17.007179612897776
