ID	st_vseh	delez_izbranih_tock	relativna_napaka_ploscine_1	relativna_napaka_obseg_1	relativna_napaka_ploscine_krog	relativna_napaka_obseg_krog	m	k
538	250	36.4	95.0828029858907	97.41224627678287	23.48323890036483	2.304403270778727	10	39
539	250	37.2	96.1394372913142	97.71874042258806	35.78841774917372	8.625422103255866	10	39
540	250	35.199999999999996	92.93519654168868	95.09865687025868	63.89743475368418	18.45198755540336	10	41
541	250	37.2	95.72721385755811	98.11245224812565	18.790950201855335	0.4467899117422424	10	41
542	250	36.8	97.26822219819765	98.68405929542398	35.95404309864739	5.009019474238968	10	43
543	250	36.8	92.85295193344774	95.867723670519	43.10507457350957	9.879746481006944	10	43
544	250	35.199999999999996	96.27165905890699	97.65705434138292	19.25314811949976	2.0162497817878706	10	45
545	250	36.4	94.77010586926404	97.69256305585338	34.62940123982631	8.116878453399837	10	45
546	250	37.2	95.7975142491516	96.11772072098464	62.31718477205823	17.200492418239076	10	47
547	250	37.6	94.91310452548844	98.64446364003412	67.10102386332889	20.156903525713172	10	47
548	250	36.0	93.31750530394761	95.32853715822561	38.03867476361716	7.228315792830746	10	49
549	250	37.2	97.49750086834354	99.21787946746439	53.461305626910516	14.345583135326661	10	49
550	250	76.8	98.3698747828643	98.21687223299357	100.0	100.0	20	1
551	250	75.6	98.75489272705568	99.61409774150827	100.0	100.0	20	1
552	250	75.6	98.92745238651781	98.28562242274843	86.74443957558331	66.43547794668974	20	3
553	250	76.4	99.38292351454066	99.94979548554971	43.14866484519845	30.724460956639028	20	3
554	250	77.60000000000001	99.80203867105311	99.96612242381613	14.441305822425804	0.8056108909920645	20	5
555	250	77.2	99.33581270593227	99.93477239086396	47.00404275013027	33.16297114615417	20	5
556	250	71.6	99.82723189695565	99.99156579165849	23.890875842190205	3.7819189743290784	20	7
557	250	75.2	99.647225044029	99.85609174145257	8.094440960236257	12.084881280435413	20	7
558	250	73.2	98.58916061487628	99.76091588827789	18.501725318100213	0.06774067226720766	20	9
559	250	71.6	99.29507178391123	99.72819996959674	0.1848986174227241	7.033009275088265	20	9
560	250	77.60000000000001	99.16034222235497	99.79673438610847	3.137249416988185	9.96609230240302	20	11
561	250	74.4	99.8946940035581	99.99915220076802	27.275492596164025	2.69066849799621	20	11
562	250	74.8	99.01041298002256	99.37014659473152	20.219286529353155	0.5140864766725738	20	13
563	250	77.60000000000001	98.29608427440006	98.47987350642629	22.07008768612787	19.188115381306897	20	13
564	250	76.8	99.70872301243135	99.99187445679824	9.306034041191344	2.2148512399732136	20	15
565	250	74.0	99.6284266215822	99.84655343962373	49.23577875363937	14.509188009591355	20	15
566	250	72.39999999999999	98.34379182711096	99.85813942567181	22.00531696438013	0.9233724169241329	20	17
567	250	80.80000000000001	99.00084648791666	99.75515873287054	11.652257097381293	2.306327591820133	20	17
568	250	78.0	99.23929470562841	99.88298037163295	11.787075210549029	2.7301538083230046	20	19
569	250	72.0	99.71537491247985	99.81400588076588	36.70547642747369	8.43994849145952	20	19
570	250	72.39999999999999	97.66401445253643	99.81670222385138	38.56480131457116	8.700328223881915	20	21
571	250	73.6	97.81602322937512	98.28299294537005	22.06847409335359	2.9580925753237484	20	21
572	250	73.2	99.07228291623224	98.43238201018339	14.029565122181742	15.714725549733236	20	23
573	250	75.6	99.37376160810989	99.98487873312615	9.313296900692054	4.33337359447503	20	23
574	250	76.4	99.27787446162326	99.79050919573616	13.927334059021756	3.3414101206818634	20	25
575	250	70.39999999999999	99.86474600220666	99.99920659944489	39.599016005165275	6.958484754680798	20	25
576	250	73.2	99.5283571730189	99.73469291099543	18.27317545077384	0.40235871363021175	20	27
577	250	72.39999999999999	98.79868287611473	99.79804849486854	6.912422487604286	4.095712656418274	20	27
578	250	72.8	98.5484361977826	99.5371719725653	39.62248721147988	9.64454207402433	20	29
579	250	77.60000000000001	99.80540000578783	99.99825821831027	26.63505756053592	0.9995417985395043	20	29
580	250	73.2	99.43906398479754	99.68861509289907	30.542797024014153	5.784176182128752	20	31
581	250	75.6	99.92611649328012	99.99650444879921	41.466529890651636	10.192160797177161	20	31
582	250	78.0	99.43355908220146	99.29875330960623	40.46786243408112	8.087101474700377	20	33
583	250	76.4	99.3490460951028	98.85094488469412	46.1576581028126	10.524583528065639	20	33
584	250	78.0	99.23799229149994	99.88621825603718	29.710939057848158	3.4976128697095135	20	35
585	250	75.2	98.7926115761193	99.28676717278668	87.91996028798286	27.650969443001934	20	35
586	250	77.2	99.70479926787296	99.86830272832039	19.747989767361894	0.7280872006454117	20	37
587	250	72.8	98.63328519851191	99.32795908312568	66.25645032928436	19.23369238791883	20	37
588	250	75.2	99.56769786231467	99.84484439649836	40.911436387599394	10.483030088601188	20	39
589	250	72.8	98.9877170010468	99.43764357945219	64.91818334600676	18.072540702673535	20	39
590	250	74.4	99.2503632436711	99.600909277516	16.221928808661342	1.2067292146724284	20	41
591	250	72.0	99.96651182952202	99.97353241971481	17.733375737472777	0.012294889529413005	20	41
592	250	72.8	99.01271914987629	99.00677785094973	49.799972437760566	13.785773445625937	20	43
593	250	76.8	98.97762457191024	99.89800578143608	27.959873534840423	3.6533176168751376	20	43
594	250	76.4	100.0	100.0	12.804257771568858	4.0818464410647675	20	45
595	250	73.2	99.70149225455249	99.87924911466473	44.793953503435155	11.170809960560609	20	45
596	250	76.8	99.41990752322461	99.43945613287538	58.03073939526826	15.856461586080123	20	47
597	250	72.0	98.54631989435336	98.79903877915726	11.239777216131964	1.9433757484247538	20	47
598	250	72.0	99.13508115912545	99.89317067905777	51.448543524570475	14.093031434364164	20	49
599	250	72.39999999999999	98.44419320028362	99.05691609648248	37.76039219200207	9.446612923376692	20	49
600	250	88.4	100.0	100.0	100.0	100.0	30	1
601	250	84.39999999999999	99.80753546635884	99.66475576014342	100.0	100.0	30	1
602	250	86.8	99.83905075830083	99.98609126257324	57.64767212035904	39.878567428908504	30	3
603	250	86.4	99.98274242750782	99.97557497876099	66.53449992384976	46.289147775147214	30	3
604	250	86.8	99.8830838726972	99.9096310128421	29.101013807033986	4.793175305505272	30	5
605	250	87.6	100.0	100.0	13.712929362423795	1.5114328623829176	30	5
606	250	85.6	99.93739955910796	99.99982401050418	1.9419516967590347	9.842406443688605	30	7
607	250	87.6	99.71657728057693	99.9253601248804	15.978417296667716	1.1736685565850498	30	7
608	250	87.2	100.0	100.0	7.402292821120718	11.414327010902074	30	9
609	250	85.2	100.0	100.0	7.8069107932546	4.723397617123647	30	9
610	250	89.60000000000001	100.0	100.0	3.511986705411337	5.098364643278221	30	11
611	250	84.8	99.53693016734587	99.98435810698554	23.58437816185555	3.9979888791386204	30	11
612	250	87.6	99.76681017744262	99.64038498755876	52.92402403131824	14.237250766591314	30	13
613	250	88.0	100.0	100.0	19.569176970342177	1.7852662119347158	30	13
614	250	83.6	99.8261273204869	99.62559852063777	49.57367481864439	12.115385361433663	30	15
615	250	90.8	99.88035940309555	99.94883234721871	10.441311834452769	2.948181740655266	30	15
616	250	86.8	99.94493305429853	99.99430535839335	43.65891223558284	10.292442038875175	30	17
617	250	86.8	99.49245710169875	99.69825727398022	32.498315874534825	6.368856375732958	30	17
618	250	88.0	99.94736155632634	99.99926723587059	35.093343754916354	7.076119492940261	30	19
619	250	86.0	99.30981183173978	99.84523217031732	60.21867260739432	17.38976856097736	30	19
620	250	85.6	99.47675814336837	99.95105597172328	24.512730288336233	3.8020392312169804	30	21
621	250	85.2	99.97370362588445	99.99759503566072	41.28254909937839	10.034333576756097	30	21
622	250	84.39999999999999	98.77516416972016	99.3147911695994	22.72325365531437	3.380249500485038	30	23
623	250	86.0	99.95209093454902	99.99970455335419	18.765261397743355	0.11539807629928417	30	23
624	250	89.2	100.0	100.0	41.19441267095023	12.495317998142056	30	25
625	250	86.0	99.41374194339167	99.12867339982265	33.35846020215975	6.447557538141659	30	25
626	250	87.6	100.0	100.0	37.9108859882781	9.251035738662342	30	27
627	250	85.2	99.8949636085104	99.95101326830257	100.42193420060057	30.817267793687346	30	27
628	250	84.0	100.0	100.0	61.666689384136106	16.20326102949914	30	29
