ID	st_vseh	relativna_napaka_ploscine_krog	relativna_napaka_obseg_krog	k
43	51	89.23499226587928	68.52444332370911	3
44	51	15.766694862471075	14.275312252289968	3
45	51	3.406012237035073	5.383922464123092	3
46	51	13.032562280214815	15.054466505969256	3
47	51	3.1068760005439477	4.0110766882845095	3
48	51	22.151156878080887	17.866963072896798	3
49	51	74.50388686144066	54.40093013578967	3
50	51	6.882243233146291	10.13265888586079	3
51	51	11.385710014709009	10.897629607872215	3
52	51	84.80855030393326	63.35289449650663	3
53	51	49.708415898894785	33.381735333899854	3
54	51	18.52225458906514	0.04353433426874819	3
55	51	34.08246291330769	24.874957831511217	3
56	51	36.49906474813056	25.644054780161223	3
57	51	68.27787058988747	49.59620763047362	3
58	51	74.03437909098102	52.63847441777659	3
59	51	71.7636000806961	51.502513933013304	3
60	51	34.37797937945923	23.950471655207767	3
61	51	21.40640557098235	16.528737472499696	3
62	51	54.73119240155297	37.68479177904629	3
63	51	38.33941721335144	10.110479434258549	3
64	51	74.44920472819449	53.77730410813598	3
65	51	34.94277175574524	24.108480170263334	3
66	51	46.73585924296588	14.658310706466086	3
67	51	17.474846402314817	2.5825994137691093	3
68	51	32.71992819429951	25.305336793660533	3
69	51	35.71452212973026	27.94042050086138	3
70	51	92.48704745934721	74.2362973780592	3
71	51	68.9066654418384	48.488864209264335	3
72	51	65.90298101412621	19.82661803416694	3
73	51	8.8216989822478	11.38552822129623	3
74	51	16.471943081902303	1.0157259624872657	3
75	51	54.06612740227883	36.39300006300169	3
76	51	77.75730933827599	55.41103661389201	3
77	51	21.001226663020216	18.710874205123616	3
78	51	89.67383689527834	70.34505288946981	3
79	51	43.02944113108252	7.741524201323557	3
80	51	43.83980898242366	30.63909142108594	3
81	51	63.46710722746985	44.23076134654729	3
82	51	73.62488933144469	52.56397088208774	3
83	51	46.09923775607353	30.42572198297443	3
84	51	12.468812588558954	12.972195960559699	3
85	51	46.404187875549496	32.55517081327283	3
86	51	85.42757640188076	64.58296646253343	3
87	51	21.22493958770975	2.6245291201641883	3
88	51	32.814468754481105	22.091075410547834	3
89	51	80.55403102062944	58.87686011075714	3
90	51	55.29669785031602	37.3093069151456	3
91	51	59.425479999344354	40.85005052302397	3
